,local,lat,lng,value
0,Amsterdã (Holanda),52.3675734,4.9041389,1
1,Barcelona (Espanha),41.3873974,2.168568,1
2,Belo Horizonte MG,-19.919052,-43.9386685,6
3,Belém PA,-1.4563432,-48.501299,2
4,Berna (Suíça),46.9479739,7.4474468,1
5,Bogotá (Colômbia),4.710988599999999,-74.072092,1
6,Brasília DF,-15.7975154,-47.89188739999999,6
7,Bruxelas (Bélgica),50.8476424,4.3571696,1
8,Buenos Aires (Argentina),-34.6036844,-58.3815591,1
9,Campinas SP,-22.9050824,-47.0613327,1
10,Cannet-Plage (França),42.706091,3.009898,1
11,Collioure (França),42.52675199999999,3.084631,1
12,Cracóvia (Polônia),50.06465009999999,19.9449799,5
13,Crato CE,-7.229957199999999,-39.4122984,2
14,Curitiba PR,-25.4372382,-49.2699727,3
15,Florença (Itália),43.7695604,11.2558136,2
16,Fortaleza CE,-3.7327203,-38.5270134,25
17,Genebra (Suíça),46.2043907,6.1431577,1
18,Havana (Cuba),23.1135925,-82.3665956,4
19,João Pessoa PB,-7.118835199999999,-34.8814339,1
20,Lausanne (Suíça),46.5196535,6.6322734,5
21,Le Cannet (França),43.57655099999999,7.019019999999999,1
22,Lion (França),45.764043,4.835659,2
23,Lisboa (Portugal),38.7222524,-9.1393366,2
24,Londres (Inglaterra),51.5072178,-0.1275862,1
25,Luxemburgo (Luxemburgo),49.815273,6.129582999999999,1
26,Madri (Espanha),40.4167754,-3.7037902,2
27,Menton (França),43.774481,7.497540000000001,2
28,Milão (Itália),45.4642035,9.189982,3
29,Montbéliard (França),47.510356,6.798466,1
30,Munique (Alemanha),48.1351253,11.5819805,1
31,Nottingham (Inglaterra),52.95478319999999,-1.1581086,1
32,Olinda PE,-7.992019300000001,-34.84223679999999,1
33,Oregon (Estados Unidos),43.8041334,-120.5542012,1
34,Palazzolo (Itália),45.5964593,9.886380599999999,1
35,Paris (França),48.856614,2.3522219,20
36,Penápolis SP,-21.4267925,-50.0762442,4
37,Polomar (Venezuela),10.9570221,-63.8699655,1
38,Porto Alegre RS,-30.0368176,-51.2089887,1
39,Recife PE,-8.0577401,-34.8829629,5
40,Rio de Janeiro RJ,-22.9068467,-43.1728965,15
41,Roma (Itália),41.9027835,12.4963655,1
42,Salvador BA,-12.9777334,-38.501648,3
43,San Juan (Porto Rico),18.4655394,-66.1057355,1
44,San Juan (Puerto Rico),18.4655394,-66.1057355,1
45,Spoleto (Itália),42.7404881,12.7378003,1
46,St. Etienne (França),45.439695,4.3871779,1
47,São Luís MA,-2.5306721,-44.2988947,1
48,São Paulo SP,-23.5557714,-46.6395571,50
49,"São Paulo SP,MAM/SP",-23.5878333,-46.65565220000001,1
50,Veneza (Itália),45.4408474,12.3155151,2
51,Viana do Castelo (Portugal),41.6918275,-8.8344101,1
52,Washington (Estados Unidos),38.9071923,-77.0368707,1
53,Zurique (Suíça),47.3768866,8.541694,1
